"Year","Municipality","Establishments of enterprises (number)","Personnel in establishments of enterprises (staff-years)"
"2023","Pielavesi",722,539
"2023","Jakobstad",1896,7358
"2023","Pihtipudas",682,791
"2023","Pirkkala",2160,6807
"2023","Polvijärvi",638,481
"2023","Pomarkku",318,297
"2023","Pori",7831,19472
"2023","Pornainen",613,529
"2023","Porvoo",5705,13575
"2023","Posio",473,543
"2023","Pudasjärvi",1074,1241
"2023","Pukkila",328,300
"2023","Punkalaidun",563,560
"2023","Puolanka",346,297
"2023","Puumala",486,294
"2023","Pyhtää",597,656
"2023","Pyhäjoki",391,347
"2023","Pyhäjärvi",715,617
"2023","Pyhäntä",178,731
"2023","Pyhäranta",283,241
"2023","Pälkäne",950,977
"2023","Pöytyä",1330,1370
"2023","Raahe",1895,7058
"2023","Raseborg",3448,5444
"2023","Raisio",2478,7524
"2023","Rantasalmi",663,597
"2023","Ranua",513,553
"2023","Rauma",3456,11507
"2023","Rautalampi",539,501
"2023","Rautavaara",211,152
"2023","Rautjärvi",381,552
"2023","Reisjärvi",412,475
"2023","Riihimäki",2295,7916
"2023","Ristijärvi",193,168
"2023","Rovaniemi",6199,14573
"2023","Ruokolahti",655,454
"2023","Ruovesi",704,785
"2023","Rusko",760,1509
"2023","Rääkkylä",399,214
"2023","Saarijärvi",1266,1431
"2023","Salla",519,465
"2023","Salo",6351,11900
"2023","Saltvik",244,281
"2023","Sastamala",3377,4930
"2023","Sauvo",480,506
"2023","Savitaipale",587,575
"2023","Savonlinna",3678,6829
"2023","Savukoski",177,129
"2023","Seinäjoki",7325,20326
"2023","Sievi",607,1578
"2023","Siikainen",262,198
"2023","Siikajoki",727,951
"2023","Siikalatva",866,990
"2023","Siilinjärvi",1807,3980
"2023","Simo",341,220
"2023","Sipoo",2579,4440
"2023","Siuntio",844,712
"2023","Sodankylä",1059,2175
"2023","Soini",459,425
"2023","Somero",1424,1645
"2023","Sonkajärvi",584,516
"2023","Sotkamo",1489,3123
"2023","Sottunga",26,8
"2023","Sulkava",482,376
"2023","Sund",152,92
"2023","Suomussalmi",855,1051
"2023","Suonenjoki",899,1397
"2023","Sysmä",668,632
"2023","Säkylä",1018,1618
"2023","Taipalsaari",538,356
"2023","Taivalkoski",444,571
"2023","Taivassalo",326,314
"2023","Tammela",875,860
"2023","Tampere",22355,85112
"2023","Tervo",314,175
"2023","Tervola",421,581
"2023","Teuva",793,922
"2023","Tohmajärvi",644,495
"2023","Toholampi",507,559
"2023","Toivakka",305,350
"2023","Tornio",2188,6165
"2023","Turku",18328,63748
"2023","Tuusniemi",413,289
"2023","Tuusula",4527,9899
"2023","Tyrnävä",585,661
"2023","Ulvila",1293,2597
"2023","Urjala",714,824
"2023","Utajärvi",369,390
"2023","Utsjoki",177,134
"2023","Uurainen",410,363
"2023","Nykarleby",1452,2111
"2023","Uusikaupunki",1742,5382
"2023","Vaala",371,312
"2023","Vaasa",5820,22780
"2023","Valkeakoski",1500,3638
"2023","Valtimo",.,.
"2023","Vantaa",19467,98232
"2023","Varkaus",1649,5351
"2023","Vehmaa",417,411
"2023","Vesanto",370,229
"2023","Vesilahti",620,499
"2023","Veteli",518,580
"2023","Vieremä",617,1503
"2023","Vihti",3241,4360
"2023","Viitasaari",873,1238
"2023","Vimpeli",421,550
"2023","Virolahti",471,360
"2023","Virrat",1063,1172
"2023","Vårdö",82,69
"2023","Vörå",1324,1449
"2023","Ylitornio",555,563
"2023","Ylivieska",1568,4157
"2023","Ylöjärvi",3458,6577
"2023","Ypäjä",393,318
"2023","Ähtäri",844,1331
"2023","Äänekoski",1571,4443
"2023","Unknown",17503,1388
"2024","WHOLE COUNTRY",647833,1489950
"2024","Akaa",1510,2687
"2024","Alajärvi",1395,1860
"2024","Alavieska",338,385
"2024","Alavus",1509,2654
"2024","Asikkala",1099,1277
"2024","Askola",657,622
"2024","Aura",484,732
"2024","Brändö",114,73
"2024","Eckerö",198,162
"2024","Enonkoski",248,188
"2024","Enontekiö",290,316
"2024","Espoo",28882,91089
"2024","Eura",1475,2617
"2024","Eurajoki",1103,2713
"2024","Evijärvi",492,476
"2024","Finström",371,554
"2024","Forssa",1715,4783
"2024","Föglö",91,101
"2024","Geta",94,61
"2024","Haapajärvi",830,1391
"2024","Haapavesi",809,1437
"2024","Hailuoto",179,101
"2024","Halsua",224,165
"2024","Hamina",1834,3392
"2024","Hammarland",270,139
"2024","Hankasalmi",723,673
"2024","Hanko",816,2479
"2024","Harjavalta",602,2547
"2024","Hartola",499,477
"2024","Hattula",1009,1264
"2024","Hausjärvi",928,917
"2024","Heinola",1693,3812
"2024","Heinävesi",571,457
"2024","Helsinki",81516,283522
"2024","Hirvensalmi",412,274
"2024","Hollola",2265,3683
"2024","Honkajoki",.,.
"2024","Huittinen",1685,2570
"2024","Humppila",327,292
"2024","Hyrynsalmi",335,221
"2024","Hyvinkää",4039,12044
"2024","Hämeenkoski",.,.
"2024","Hämeenkyrö",1287,1476
"2024","Hämeenlinna",6685,16746
"2024","Ii",929,1183
"2024","Iisalmi",2021,5487
"2024","Iitti",906,1181
"2024","Ikaalinen",1186,1158
"2024","Ilmajoki",1528,1597
"2024","Ilomantsi",635,653
"2024","Imatra",1862,5699
"2024","Inari",945,1677
"2024","Ingå",870,743
"2024","Isojoki",403,377
"2024","Isokyrö",741,751
"2024","Jalasjärvi",.,.
"2024","Janakkala",1531,2967
"2024","Joensuu",6915,18955
"2024","Jokioinen",588,761
"2024","Jomala",877,1605
"2024","Joroinen",638,834
"2024","Joutsa",756,725
"2024","Juankoski",.,.
"2024","Juuka",678,715
"2024","Juupajoki",280,483
"2024","Juva",1122,921
"2024","Jyväskylä",12918,36344
"2024","Jyväskylän mlk",.,.
"2024","Jämijärvi",333,280
"2024","Jämsä",2306,4417
"2024","Järvenpää",3673,7543
"2024","Kaarina",3440,6720
"2024","Kaavi",413,481
"2024","Kajaani",2806,7902
"2024","Kalajoki",1754,2760
"2024","Kangasala",3248,5092
"2024","Kangasniemi",1045,846
"2024","Kankaanpää",1872,2992
"2024","Kannonkoski",217,181
"2024","Kannus",682,1377
"2024","Karijoki",247,180
"2024","Karkkila",863,1749
"2024","Karstula",661,731
"2024","Karvia",476,410
"2024","Kaskinen",161,274
"2024","Kauhajoki",1841,2990
"2024","Kauhava",2575,3932
"2024","Kauniainen",1214,962
"2024","Kaustinen",664,991
"2024","Keitele",332,673
"2024","Kemi",1208,4881
"2024","Kemijärvi",720,1103
"2024","Keminmaa",763,2227
"2024","Kimitoön",1171,1003
"2024","Kempele",1714,4983
"2024","Kerava",2838,7433
"2024","Keuruu",1145,1673
"2024","Kihniö",348,411
"2024","Kinnula",248,189
"2024","Kirkkonummi",3868,6007
"2024","Kitee",1512,1686
"2024","Kittilä",1225,2642
"2024","Kiuruvesi",1210,1174
"2024","Kivijärvi",147,95
"2024","Kokemäki",950,1310
"2024","Kokkola",4734,11828
"2024","Kolari",746,866
"2024","Konnevesi",473,413
"2024","Kontiolahti",1349,2243
"2024","Korsnäs",464,306
"2024","Koski Tl",474,565
"2024","Kotka",3778,12197
"2024","Kouvola",7491,16521
"2024","Kristinestad",1100,1546
"2024","Kronoby",1117,1432
"2024","Kuhmo",985,1384
"2024","Kuhmoinen",408,230
"2024","Kumlinge",79,39
"2024","Kuopio",11562,29737
"2024","Kuortane",624,810
"2024","Kurikka",2849,4058
"2024","Kustavi",243,181
"2024","Kuusamo",2063,3802
"2024","Kyyjärvi",203,191
"2024","Kärkölä",542,1126
"2024","Kärsämäki",412,674
"2024","Kökar",54,39
"2024","Köyliö",.,.
"2024","Lahti",10187,32285
"2024","Laihia",890,972
"2024","Laitila",1287,2677
"2024","Lapinjärvi",464,536
"2024","Lapinlahti",1269,1518
"2024","Lappajärvi",481,426
"2024","Lappeenranta",6599,17667
"2024","Lapua",1851,2536
"2024","Laukaa",1831,2978
"2024","Lavia",.,.
"2024","Lemi",378,191
"2024","Lemland",282,107
"2024","Lempäälä",2509,5216
"2024","Leppävirta",1183,1737
"2024","Lestijärvi",133,95
"2024","Lieksa",1137,1873
"2024","Lieto",2396,4899
"2024","Liminka",908,1172
"2024","Liperi",1416,1648
"2024","Lohja",4672,8310
"2024","Loimaa",2338,3833
"2024","Loppi",1033,1032
"2024","Loviisa",1922,2990
"2024","Luhanka",162,72
"2024","Lumijoki",226,236
"2024","Lumparland",68,52
"2024","Larsmo",462,539
"2024","Luumäki",708,688
"2024","Luvia",.,.
"2024","Malax",881,896
"2024","Maaninka",.,.
"2024","Mariehamn",1778,6314
"2024","Marttila",377,229
"2024","Masku",1001,1435
"2024","Merijärvi",148,88
"2024","Merikarvia",482,440
"2024","Miehikkälä",367,162
"2024","Mikkeli",5879,11047
"2024","Muhos",806,1224
"2024","Multia",263,373
"2024","Muonio",374,666
"2024","Korsholm",2512,2844
"2024","Muurame",1047,1719
"2024","Mynämäki",1051,1075
"2024","Myrskylä",307,266
"2024","Mäntsälä",2246,3349
"2024","Mänttä-Vilppula",981,2388
"2024","Mäntyharju",905,1235
"2024","Naantali",2204,3190
"2024","Nakkila",573,819
"2024","Nastola",.,.
"2024","Nivala",1249,2289
"2024","Nokia",2823,7505
"2024","Nousiainen",575,497
"2024","Nurmes",1155,1745
"2024","Nurmijärvi",4540,7840
"2024","Närpes",1968,3308
"2024","Orimattila",1909,2674
"2024","Oripää",243,336
"2024","Orivesi",1120,1233
"2024","Oulainen",740,1440
"2024","Oulu",17372,58168
"2024","Outokumpu",606,1315
"2024","Padasjoki",479,353
"2024","Paimio",1127,1742
"2024","Paltamo",436,404
"2024","Pargas",2066,2568
"2024","Parikkala",841,528
"2024","Parkano",975,1656
"2024","Pedersöre",1521,3066
"2024","Pelkosenniemi",193,233
"2024","Pello",524,478
"2024","Perho",370,430
"2024","Pertunmaa",352,257
"2024","Petäjävesi",487,295
"2024","Pieksämäki",1982,3276
"2024","Pielavesi",695,507
"2024","Jakobstad",1931,7655
"2024","Pihtipudas",667,741
"2024","Pirkkala",2262,7146
"2024","Polvijärvi",615,439
"2024","Pomarkku",306,267
"2024","Pori",7794,18964
"2024","Pornainen",597,557
"2024","Porvoo",5733,13501
"2024","Posio",476,591
"2024","Pudasjärvi",1002,1132
"2024","Pukkila",330,280
"2024","Punkalaidun",565,523
"2024","Puolanka",353,335
"2024","Puumala",464,279
"2024","Pyhtää",587,632
"2024","Pyhäjoki",388,323
"2024","Pyhäjärvi",707,622
"2024","Pyhäntä",178,623
"2024","Pyhäranta",296,241
"2024","Pälkäne",942,908
"2024","Pöytyä",1331,1306
"2024","Raahe",1884,6482
"2024","Raseborg",3515,5332
"2024","Raisio",2519,7620
"2024","Rantasalmi",651,575
"2024","Ranua",531,550
"2024","Rauma",3509,11452
"2024","Rautalampi",520,509
"2024","Rautavaara",207,139
"2024","Rautjärvi",379,543
"2024","Reisjärvi",407,510
"2024","Riihimäki",2242,7783
"2024","Ristijärvi",185,134
"2024","Rovaniemi",6334,14736
"2024","Ruokolahti",679,429
"2024","Ruovesi",681,743
"2024","Rusko",742,1511
"2024","Rääkkylä",395,206
"2024","Saarijärvi",1294,1376
"2024","Salla",520,449
"2024","Salo",6317,11709
"2024","Saltvik",248,271
"2024","Sastamala",3351,4704
"2024","Sauvo",466,474
"2024","Savitaipale",589,453
"2024","Savonlinna",3681,6598
"2024","Savukoski",178,137
"2024","Seinäjoki",7413,20140
"2024","Sievi",617,1331
"2024","Siikainen",262,192
"2024","Siikajoki",690,913
"2024","Siikalatva",874,1028
"2024","Siilinjärvi",1852,3818
"2024","Simo",339,195
"2024","Sipoo",2641,4475
"2024","Siuntio",819,692
"2024","Sodankylä",1063,2208
"2024","Soini",437,436
"2024","Somero",1411,1475
"2024","Sonkajärvi",574,510
"2024","Sotkamo",1496,3200
"2024","Sottunga",30,8
"2024","Sulkava",485,365
"2024","Sund",157,82
"2024","Suomussalmi",831,946
"2024","Suonenjoki",884,1345
"2024","Sysmä",666,575
"2024","Säkylä",999,1640
"2024","Taipalsaari",536,329
"2024","Taivalkoski",444,546
"2024","Taivassalo",326,273
"2024","Tammela",867,897
"2024","Tampere",22647,83695
"2024","Tervo",313,145
"2024","Tervola",428,555
"2024","Teuva",774,876
"2024","Tohmajärvi",616,441
"2024","Toholampi",505,575
"2024","Toivakka",339,323
"2024","Tornio",2202,6176
"2024","Turku",18575,63621
"2024","Tuusniemi",422,284
"2024","Tuusula",4657,9973
"2024","Tyrnävä",576,579
"2024","Ulvila",1265,2473
"2024","Urjala",688,840
"2024","Utajärvi",353,366
"2024","Utsjoki",172,140
"2024","Uurainen",415,336
"2024","Nykarleby",1423,2077
"2024","Uusikaupunki",1722,4844
"2024","Vaala",368,289
"2024","Vaasa",6017,22975
"2024","Valkeakoski",1534,3681
"2024","Valtimo",.,.
"2024","Vantaa",19664,95494
"2024","Varkaus",1655,5191
"2024","Vehmaa",420,390
"2024","Vesanto",359,215
"2024","Vesilahti",615,460
"2024","Veteli",539,541
"2024","Vieremä",601,1451
"2024","Vihti",3292,4291
"2024","Viitasaari",866,1192
"2024","Vimpeli",411,531
"2024","Virolahti",440,282
"2024","Virrat",1033,1135
"2024","Vårdö",87,70
"2024","Vörå",1323,1351
"2024","Ylitornio",549,561
"2024","Ylivieska",1590,4078
"2024","Ylöjärvi",3506,6374
"2024","Ypäjä",383,231
"2024","Ähtäri",844,1298
"2024","Äänekoski",1556,4641
"2024","Unknown",46934,5887
